Lineup,Minutes,Off Min,Def Min,Total Possessions,Off Poss,Def Poss,PM_p40,Net_RTG,Off PPP,Def PPP,ORTG,DRTG,Plus_Minus,rel_PM_p40,rel_Off_RTG,rel_Def_RTG,rel_Net_RTG,O_eFG%,O_TOV%,O_ORB%,O_FTR,D_eFG%,D_TOV%,D_ORB%,D_FTR,Stop Rate,Score Rate,Stops,Scores,2FGA,2FGM,3PA,3PM,FTA,FTM,TOV,ORB,FGA,FGM,2FGA Allowed,2FGM Allowed,3PA Allowed,3PM Allowed,FTA Allowed,FTM Allowed,TOV Forced,O-Boards Allowed,FGA Allowed,FGM Allowed,Points For,Points Against,Team Minutes,Team Plus_Minus,Team Off Poss,Team Def Poss,Team Total Possessions,Team ORTG,Team DRTG,Team Net_RTG,Team PM_p40
MS-DP-IK-EF-AM7,1.803,0.34,1.463,9,2,7,-110.906,-71.429,0.0,0.714,0.0,71.429,-5,-70.959,-79.365,-38.961,-40.404,0.0,0.5,0.0,0.0,0.667,0.571,0.0,0.0,0.714,0.0,5,0,1,0,0,0,0,0,1,0,1,0,1,1,2,1,0,0,4,0,3,2,0,5,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SN-DP-IK-KJ,1.76,0.917,0.843,7,4,3,68.182,41.667,1.75,1.333,175.0,133.333,3,108.129,95.635,22.944,72.691,1.0,0.25,0.0,0.0,1.0,0.333,0.0,2.0,0.333,0.75,1,3,2,2,1,1,0,0,1,0,3,3,0,0,1,1,2,1,1,0,1,1,7,4,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
DP-SI-AC-IK-AM7,1.747,1.593,0.153,4,3,1,-45.802,-200.0,0.0,2.0,0.0,200.0,-2,-5.855,-79.365,89.61,-168.975,0.0,0.667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,2,3,4,0,1,1,0,0,0,0,0,0,1,1,0,2,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-SI-EF-KJ-MH,1.567,0.0,1.567,4,0,4,-127.66,-125.0,0.0,1.25,0.0,125.0,-5,-87.713,-79.365,14.61,-93.975,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.5,0.5,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,2,2,3,4,1,0,5,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SN-DP-IK-MH,1.565,0.838,0.727,5,3,2,25.559,16.667,0.667,0.5,66.667,50.0,1,65.506,-12.698,-60.39,47.691,0.5,0.667,0.333,0.0,0.0,0.5,0.0,0.0,0.5,0.333,1,1,1,1,1,0,0,0,2,1,2,1,0,0,0,0,2,1,1,0,0,0,2,1,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-DP-AC-IK-KJ,1.517,1.125,0.392,6,4,2,0.0,-100.0,1.0,2.0,100.0,200.0,0,39.947,20.635,89.61,-68.975,0.5,0.0,0.25,0.0,1.0,0.0,0.0,2.0,0.0,0.5,0,2,2,2,2,0,0,0,0,1,4,2,1,1,0,0,2,2,0,0,1,1,4,4,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SD-SN-AM7-KJ,1.452,0.802,0.65,6,3,3,82.664,100.0,2.0,1.0,200.0,100.0,3,122.61,120.635,-10.39,131.025,0.667,0.0,0.0,0.0,1.0,0.667,0.0,0.0,0.667,0.667,2,2,0,0,3,2,0,0,0,0,3,2,0,0,1,1,0,0,2,0,1,1,6,3,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SI-AM7-KJ-MH,1.422,0.633,0.788,6,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0,39.947,-79.365,-110.39,31.025,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,1.0,0.0,4,0,1,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,1,1,4,0,0,0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SI-IK-KJ-MH,1.413,0.988,0.425,6,4,2,-56.604,-100.0,0.0,1.0,0.0,100.0,-2,-16.657,-79.365,-10.39,-68.975,0.0,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1,0,1,0,2,0,0,0,1,1,3,0,2,1,0,0,0,0,0,0,2,1,0,2,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SN-SI-A'M-JB,1.367,0.0,1.367,5,0,5,-263.415,-180.0,0.0,1.8,0.0,180.0,-9,-223.468,-79.365,69.61,-148.975,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,4,4,0,9,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-DP-IK-KJ-MH,1.355,0.495,0.86,6,2,4,-29.52,25.0,1.0,0.75,100.0,75.0,-1,10.426,20.635,-35.39,56.025,0.5,0.0,0.0,0.0,1.0,0.75,0.0,1.0,0.75,0.5,3,1,1,1,1,0,0,0,0,0,2,1,1,1,0,0,1,1,3,0,1,1,2,3,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
DP-SI-A'M-EF-JB,1.222,0.0,1.222,4,0,4,-229.195,-175.0,0.0,1.75,0.0,175.0,-7,-189.248,-79.365,64.61,-143.975,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.25,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,0,3,3,0,7,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-IK-EF-KJ-MH,1.213,0.718,0.495,6,4,2,0.0,-50.0,0.5,1.0,50.0,100.0,0,39.947,-29.365,-10.39,-18.975,1.0,0.25,0.0,1.0,0.5,0.5,0.5,0.0,0.5,0.25,1,1,1,1,0,0,1,0,1,0,1,1,2,1,0,0,0,0,1,1,2,1,2,2,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SN-DP-AM7-KJ,1.172,0.722,0.45,4,2,2,0.0,0.0,1.0,1.0,100.0,100.0,0,39.947,20.635,-10.39,31.025,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,1,1,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,1,1,2,2,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-AC-EF-AM7-MH,1.113,0.677,0.437,6,3,3,-71.856,-66.667,0.0,0.667,0.0,66.667,-2,-31.91,-79.365,-43.723,-35.642,0.0,0.333,0.0,0.0,1.0,0.333,0.0,0.0,0.667,0.0,2,0,2,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,1,0,1,1,0,2,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SN-AC-IK-MH,1.072,0.687,0.385,4,2,2,111.975,150.0,2.5,1.0,250.0,100.0,3,151.922,170.635,-10.39,181.025,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,1.0,1,2,1,1,1,1,0,0,0,0,2,2,1,1,0,0,0,0,1,0,1,1,5,2,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-AC-IK-KJ-MH,1.072,0.74,0.332,3,2,1,-74.65,-200.0,0.0,2.0,0.0,200.0,-2,-34.703,-79.365,89.61,-168.975,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,1,0,2,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SD-SI-KJ-MH,0.962,0.137,0.825,5,1,4,-207.972,-125.0,0.0,1.25,0.0,125.0,-5,-168.026,-79.365,14.61,-93.975,0.0,1.0,0.0,0.0,0.5,0.25,0.0,1.0,0.5,0.0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,2,1,0,2,1,0,5,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
