Player Combo,isTwoPlayer,Minutes,Off Min,Def Min,Off Poss,Def Poss,Total Possessions,rel_PM_p40,On-Off_PMp40,ORTG,DRTG,Net_RTG,On-Off,PM_p40,rel_Off_RTG,rel_Def_RTG,rel_Net_RTG,Plus_Minus,Off-Court PM_p40,Off-Court ORTG,Off-Court DRTG,Off-Court Net_RTG,Team Minutes,Team Plus_Minus,Team Off Poss,Team Def Poss,Team Total Possessions,Team ORTG,Team DRTG,Team Net_RTG,Team PM_p40
MS-SI-AM7-MH,False,1.543,0.483,1.06,1,6,7,-115.561,-192.13,0.0,100.0,-100.0,-77.5,-155.508,-79.365,-10.39,-68.975,-6,36.623,137.5,160.0,-22.5,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SI-KJ-MH,False,1.527,0.137,1.39,1,8,9,-248.263,-133.037,0.0,137.5,-137.5,-37.5,-288.21,-79.365,27.11,-106.475,-11,-155.172,0.0,100.0,-100.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
DP-AC-IK-KJ,False,1.517,1.125,0.392,4,2,6,39.947,145.259,100.0,200.0,-100.0,28.571,0.0,20.635,89.61,-68.975,0,-145.259,0.0,128.571,-128.571,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-AC-IK-KJ,False,1.517,1.125,0.392,4,2,6,39.947,148.699,100.0,200.0,-100.0,25.0,0.0,20.635,89.61,-68.975,0,-148.699,0.0,125.0,-125.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-DP-AC-IK,False,1.517,1.125,0.392,4,2,6,39.947,88.442,100.0,200.0,-100.0,-52.083,0.0,20.635,89.61,-68.975,0,-88.442,33.333,81.25,-47.917,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-DP-AC-KJ,False,1.517,1.125,0.392,4,2,6,39.947,-13.136,100.0,200.0,-100.0,-103.333,0.0,20.635,89.61,-68.975,0,13.136,83.333,80.0,3.333,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-AM7-KJ-MH,False,1.48,0.323,1.157,1,6,7,-122.215,85.101,200.0,133.333,66.667,244.444,-162.162,120.635,22.944,97.691,-6,-247.263,0.0,177.778,-177.778,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SD-SI-MH,False,1.457,0.137,1.32,1,6,7,-97.353,-137.3,0.0,83.333,-83.333,16.667,-137.3,-79.365,-27.056,-52.309,-5,0.0,100.0,200.0,-100.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SI-IK-KJ-MH,False,1.413,0.988,0.425,4,2,6,-16.657,49.001,0.0,100.0,-100.0,-9.402,-56.604,-79.365,-10.39,-68.975,-2,-105.604,53.846,144.444,-90.598,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SI-IK-KJ,False,1.413,0.988,0.425,4,2,6,-16.657,34.999,0.0,100.0,-100.0,-18.552,-56.604,-79.365,-10.39,-68.975,-2,-91.603,53.846,135.294,-81.448,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SI-IK-MH,False,1.413,0.988,0.425,4,2,6,-16.657,24.649,0.0,100.0,-100.0,-21.111,-56.604,-79.365,-10.39,-68.975,-2,-81.253,60.0,138.889,-78.889,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-AC-EF-MH,False,1.375,0.938,0.437,4,3,7,-18.235,-41.28,0.0,66.667,-66.667,-46.667,-58.182,-79.365,-43.723,-35.642,-2,-16.901,100.0,120.0,-20.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SN-A'M-JB,False,1.367,0.0,1.367,0,5,5,-223.468,-209.88,0.0,180.0,-180.0,-114.885,-263.415,-79.365,69.61,-148.975,-9,-53.535,60.526,125.641,-65.115,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SN-SI-A'M,False,1.367,0.0,1.367,0,5,5,-223.468,-213.753,0.0,180.0,-180.0,-124.615,-263.415,-79.365,69.61,-148.975,-9,-49.662,60.0,115.385,-55.385,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SN-SI-JB,False,1.367,0.0,1.367,0,5,5,-223.468,-213.753,0.0,180.0,-180.0,-124.615,-263.415,-79.365,69.61,-148.975,-9,-49.662,60.0,115.385,-55.385,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-SI-A'M-JB,False,1.367,0.0,1.367,0,5,5,-223.468,-222.523,0.0,180.0,-180.0,-128.889,-263.415,-79.365,69.61,-148.975,-9,-40.892,64.444,115.556,-51.111,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SI-A'M-JB,False,1.367,0.0,1.367,0,5,5,-223.468,-227.922,0.0,180.0,-180.0,-145.66,-263.415,-79.365,69.61,-148.975,-9,-35.492,76.471,110.811,-34.34,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
DP-IK-KJ-MH,False,1.355,0.495,0.86,2,4,6,10.426,259.419,100.0,75.0,25.0,202.778,-29.52,20.635,-35.39,56.025,-1,-288.939,0.0,177.778,-177.778,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-DP-KJ-MH,False,1.355,0.495,0.86,2,4,6,10.426,29.016,100.0,75.0,25.0,38.333,-29.52,20.635,-35.39,56.025,-1,-58.537,116.667,130.0,-13.333,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SI-AC-AM7,False,1.255,1.143,0.112,3,1,4,39.947,-25.632,66.667,200.0,-133.333,-147.899,0.0,-12.698,89.61,-102.309,0,25.632,88.095,73.529,14.566,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
