#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
53,9,P3,,"Unsuccessful, Offense",,,0:02.4,,,2:10.05,2:12.45,Live,,,,,"Transition, #13 Ivana Krajina, #02 Mari Somvichian, #24 Kayla Jones, #55 Maya Hernandez, #0 Sarah Deng",,,
54,@-8-),P3,,"Whistle, Defense, Allow O-Board",,,0:10.7,,,2:12.45,2:23.12,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #24 Kayla Jones, #13 Ivana Krajina, #55 Maya Hernandez",,,
55,@-8-2,P3,,"Unsuccessful, Defense, Allow O-Board, Allow Paint Touch",,,0:18.9,,,2:40.31,2:59.23,Live,,,,,"#0 Sarah Deng, #13 Ivana Krajina, #02 Mari Somvichian, #24 Kayla Jones, #55 Maya Hernandez",,,
56,@,P3,,"Offense, Unsuccessful",,,0:17.5,,,2:59.23,3:16.72,Live,,,,,"#55 Maya Hernandez, #02 Mari Somvichian, Transition, #0 Sarah Deng, #24 Kayla Jones, #13 Ivana Krajina",,,
57,@,P3,,"Unsuccessful, Offense",,,0:18.3,,,4:06.45,4:24.72,Live,,,,,"#0 Sarah Deng, #24 Kayla Jones, #13 Ivana Krajina, #55 Maya Hernandez, #04 Allison Clarke, Half-court",,,
58,),P3,,"Defense, Whistle",,,0:10.5,,,4:24.72,4:35.25,Live,,,,,"#04 Allison Clarke, #13 Ivana Krajina, #24 Kayla Jones, #0 Sarah Deng, #55 Maya Hernandez",,,
59,2,P3,,"Unsuccessful, Defense, Allow O-Board, Allow Paint Touch",,,0:19.9,,,5:25.70,5:45.56,Live,,,,,"#0 Sarah Deng, #13 Ivana Krajina, #24 Kayla Jones, #04 Allison Clarke, #55 Maya Hernandez",,,
60,#,P3,,"Unsuccessful, Offense",,,0:26.1,,,5:45.56,6:11.70,Live,,,,,"#04 Allison Clarke, #13 Ivana Krajina, #55 Maya Hernandez, #0 Sarah Deng, #24 Kayla Jones, Transition",,,
61,),P3,,"Offense, Whistle",,,0:10.5,,,6:36.99,6:47.46,Live,,,,,"#07 Ana Milanovic, #04 Allison Clarke, #0 Sarah Deng, #55 Maya Hernandez, Half-court, #11 Erica Finney",,,
62,),P3,,"Offense, Whistle",,,0:19.6,,,7:20.96,7:40.52,Live,,,,,"#0 Sarah Deng, #11 Erica Finney, #07 Ana Milanovic, #55 Maya Hernandez, Half-court, #04 Allison Clarke",,,
63,9,P3,,"Unsuccessful, Offense",,,0:11.0,,,0:19.21,0:30.19,Live,,,,,"#11 Erica Finney, Half-court, #04 Allison Clarke, #07 Ana Milanovic, #0 Sarah Deng, #55 Maya Hernandez",,,
64,0,P3,,"Whistle, Defense, Allow Middle",,,0:09.8,,,0:30.19,0:39.96,Live,,,,,"#55 Maya Hernandez, #11 Erica Finney, #0 Sarah Deng, #07 Ana Milanovic, #04 Allison Clarke",,,
65,9,P3,,"Defense, Successful",,,0:09.9,,,0:50.38,1:00.25,Live,,,,,"#07 Ana Milanovic, #0 Sarah Deng, #04 Allison Clarke, #55 Maya Hernandez, #11 Erica Finney",,,
66,@,P3,,"Offense, Unsuccessful",,,0:06.4,,,1:00.25,1:06.63,Live,,,,,"#04 Allison Clarke, #07 Ana Milanovic, #0 Sarah Deng, #11 Erica Finney, #55 Maya Hernandez, Transition",,,
67,2,P3,,"Unsuccessful, Defense",,,0:06.5,,,1:06.63,1:13.12,Live,,,,,"#11 Erica Finney, #07 Ana Milanovic, #04 Allison Clarke, #0 Sarah Deng, #55 Maya Hernandez",,,
68,@,P3,,"Offense, Unsuccessful",,,0:23.2,,,1:13.12,1:36.33,Live,,,,,"#0 Sarah Deng, #55 Maya Hernandez, #07 Ana Milanovic, #11 Erica Finney, #04 Allison Clarke, Transition",,,
69,2,P4,,"Defense, Unsuccessful, Allow Middle, Allow Paint Touch",,,0:13.1,,,0:27.77,0:40.86,Live,,,,,"#06 Shawnee Nordstrom, #24 Kayla Jones, #0 Sarah Deng, #55 Maya Hernandez, #13 Ivana Krajina",,,
70,3,P4,,"Defense, Unsuccessful, Allow UC 3",,,0:13.5,,,0:47.31,1:00.85,Live,,,,,"#11 Erica Finney, #07 Ana Milanovic, #02 Mari Somvichian, #04 Allison Clarke, #03 Danae Powell",,,
71,2,P4,,"Defense, Successful, Allow Paint Touch",,,0:21.2,,,1:09.86,1:31.09,Live,,,,,"#06 Shawnee Nordstrom, #30 Janay Brantley, #0 Sarah Deng, #08 Shanayka Ismar, #22 Ali'a Matavao",,,
72,),P4,,"Offense, Whistle",,,0:06.6,,,1:35.26,1:41.82,Live,,,,,"#30 Janay Brantley, #06 Shawnee Nordstrom, #08 Shanayka Ismar, #22 Ali'a Matavao, #0 Sarah Deng",,,
73,),P4,,Offense,,,0:27.6,,,1:54.99,2:22.57,Live,,,,,"#08 Shanayka Ismar, #06 Shawnee Nordstrom, #30 Janay Brantley, #0 Sarah Deng, #22 Ali'a Matavao",,,
74,9,P4,,"Defense, Successful",,,0:12.5,,,3:04.19,3:16.66,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #55 Maya Hernandez, #24 Kayla Jones, #13 Ivana Krajina",,,
75,#,P4,,"Offense, Unsuccessful",,,0:23.6,,,3:16.66,3:40.22,Live,,,,,"#0 Sarah Deng, #24 Kayla Jones, #06 Shawnee Nordstrom, #55 Maya Hernandez, #13 Ivana Krajina",,,
76,9,P4,,"Defense, Unsuccessful, Allow Paint Touch",,,0:23.4,,,3:49.88,4:13.23,Live,,,,,"#24 Kayla Jones, #55 Maya Hernandez, #06 Shawnee Nordstrom, #13 Ivana Krajina, #0 Sarah Deng",,,
77,9,P4,,"Offense, Unsuccessful",,,0:23.8,,,4:13.23,4:36.99,Live,,,,,"#06 Shawnee Nordstrom, #24 Kayla Jones, #55 Maya Hernandez, #0 Sarah Deng, #13 Ivana Krajina",,,
78,2,P4,,"Defense, Unsuccessful, Allow Paint Touch, Allow Middle",,,0:11.7,,,0:02.58,0:14.25,Live,,,,,"#04 Allison Clarke, #11 Erica Finney, #02 Mari Somvichian, #07 Ana Milanovic, #03 Danae Powell",,,
79,,P4,,"Offense, Whistle",,,0:01.0,,,0:14.25,0:15.25,Live,,,,,"#04 Allison Clarke, #11 Erica Finney, #03 Danae Powell, #02 Mari Somvichian, #07 Ana Milanovic",,,
80,),P4,,"Defense, Whistle, Allow Middle",,,0:05.8,,,0:31.72,0:37.53,Live,,,,,"#03 Danae Powell, #04 Allison Clarke, #07 Ana Milanovic, #11 Erica Finney, #02 Mari Somvichian",,,
81,9,P4,,"Defense, Successful, Allow Middle",,,0:11.2,,,1:01.01,1:12.26,Live,,,,,"#02 Mari Somvichian, #04 Allison Clarke, #07 Ana Milanovic, #03 Danae Powell, #11 Erica Finney",,,
82,2,P4,,"Offense, Successful",,,0:18.8,,,1:12.26,1:31.02,Live,,,,,"#02 Mari Somvichian, #04 Allison Clarke, #03 Danae Powell, #07 Ana Milanovic, #11 Erica Finney",,,
83,3,P4,,"Defense, Unsuccessful, Allow Middle",,,0:15.0,,,0:30.58,0:45.59,Live,,,,,"#30 Janay Brantley, #0 Sarah Deng, #08 Shanayka Ismar, #22 Ali'a Matavao, #06 Shawnee Nordstrom",,,
