#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
313,,p22,),"Defense, Whistle, Deflection_",,,0:10.8,N/A,N/A,19:50.16,20:00.99,Live,,,,,"#13 Ivana Krajina, #6 Shawnee Nordstrom, #3 Danae Powell, #55 Maya Hernandez, #24 Kayla Jones",,,
314,,p22,9,"Defense, Stop, Allow_Paint_Touch, Deflection_",,,0:14.0,N/A,N/A,20:49.07,21:03.03,Live,,,,,"#3 Danae Powell, #13 Ivana Krajina, #6 Shawnee Nordstrom, #24 Kayla Jones, #55 Maya Hernandez",,,
315,,p22,9,"Defense, Stop",,,0:39.0,N/A,N/A,23:40.99,24:19.96,Live,,,,,"#3 Danae Powell, #6 Shawnee Nordstrom, #8 Shanayka Ismar, #4 Allison Clarke, #24 Kayla Jones",,,
316,,p22,@,"Defense, Whistle, Allow_Middle, Allow_Paint_Touch",,,0:08.7,N/A,N/A,24:44.99,24:53.73,Live,,,,,"#4 Allison Clarke, #8 Shanayka Ismar, #24 Kayla Jones, #3 Danae Powell, #6 Shawnee Nordstrom",,,
401,,p21,9,Defense,,,0:03.7,N/A,N/A,1:18.58,1:22.33,Live,,,,,"#4 Allison Clarke, #24 Kayla Jones, #55 Maya Hernandez, #3 Danae Powell, #2 Mari Somvichian",,,
402,,p21,2,"Defense, Allow_Paint_Touch",,,0:08.7,N/A,N/A,1:50.86,1:59.56,Live,,,,,"#3 Danae Powell, #55 Maya Hernandez, #24 Kayla Jones, #4 Allison Clarke, #2 Mari Somvichian",,,
403,,p21,@,"Defense, Allow_Paint_Touch",,,0:16.6,N/A,N/A,3:15.65,3:32.30,Live,,,,,"#2 Mari Somvichian, #3 Danae Powell, #24 Kayla Jones, #55 Maya Hernandez, #4 Allison Clarke",,,
404,,p21,2,"Defense, Allow_Paint_Touch",,,0:18.1,N/A,N/A,3:38.65,3:56.73,Live,,,,,"#24 Kayla Jones, #55 Maya Hernandez, #4 Allison Clarke, #3 Danae Powell, #2 Mari Somvichian",,,
405,,p21,#,"Defense, Allow_Middle, Allow_Paint_Touch, Allow_UC3",,,0:12.1,N/A,N/A,4:13.06,4:25.13,Live,,,,,"#0 Sarah Deng, #6 Shawnee Nordstrom, #8 Shanayka Ismar, #55 Maya Hernandez, #13 Ivana Krajina",,,
406,,p21,2,"Defense, Allow_Middle, Allow_Paint_Touch",,,0:14.0,N/A,N/A,4:49.62,5:03.62,Live,,,,,"#6 Shawnee Nordstrom, #0 Sarah Deng, #8 Shanayka Ismar, #55 Maya Hernandez, #13 Ivana Krajina",,,
407,,p21,2,"Defense, Allow_Paint_Touch",,,0:04.9,N/A,N/A,5:15.44,5:20.32,Live,,,,,"#13 Ivana Krajina, #8 Shanayka Ismar, #6 Shawnee Nordstrom, #0 Sarah Deng, #55 Maya Hernandez",,,
408,,p21,@,"Defense, Allow_Paint_Touch",,,0:16.4,N/A,N/A,7:27.88,7:44.26,Live,,,,,"#6 Shawnee Nordstrom, #8 Shanayka Ismar, #0 Sarah Deng, #55 Maya Hernandez, #13 Ivana Krajina",,,
