#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
71,9,P6,,Defense,,,0:08.5,,,0:44.91,0:53.43,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #08 Shanayka Ismar, #24 Kayla Jones, #55 Maya Hernandez",,,
72,#-8-2,P6,,Defense,,,0:14.0,,,1:50.15,2:04.19,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #08 Shanayka Ismar, #24 Kayla Jones, #55 Maya Hernandez",,,
73,2,P6,,"Defense, Allow Paint Touch",,,0:09.9,,,2:13.01,2:22.93,Live,,,,,"#02 Mari Somvichian, #04 Allison Clarke, #07 Ana Milanovic, #22 Ali'a Matavao, #30 Janay Brantley",,,
74,2,P6,,"Defense, Allow Paint Touch",,,0:11.5,,,3:15.99,3:27.49,Live,,,,,"#02 Mari Somvichian, #04 Allison Clarke, #07 Ana Milanovic, #22 Ali'a Matavao, #30 Janay Brantley",,,
75,),P6,,Defense,,,0:07.8,,,3:44.75,3:52.52,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #08 Shanayka Ismar, #11 Erica Finney, #24 Kayla Jones",,,
76,),P6,,Defense,,,0:06.9,,,3:58.66,4:05.55,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #08 Shanayka Ismar, #13 Ivana Krajina, #24 Kayla Jones",,,
77,@,P6,,Defense,,,0:13.7,,,4:20.85,4:34.52,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #08 Shanayka Ismar, #11 Erica Finney, #24 Kayla Jones",,,
78,9,P6,,"Defense, Deflection",,,0:07.0,,,0:03.01,0:09.96,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #03 Danae Powell, #30 Janay Brantley, #55 Maya Hernandez",,,
79,3,P6,,"Defense, Allow UC 3",,,0:14.4,,,0:17.71,0:32.15,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #03 Danae Powell, #30 Janay Brantley, #55 Maya Hernandez",,,
80,2,P6,,Offense,,,0:16.0,,,0:56.62,1:12.59,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, Half-court",,,
81,3,P6,,Defense,,,0:20.3,,,1:12.59,1:32.89,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones",,,
82,2,P6,,Offense,,,0:09.7,,,1:32.89,1:42.55,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, Transition",,,
83,@,P6,,Offense,,,0:29.0,,,0:05.29,0:34.26,Live,,,,,"#02 Mari Somvichian, #04 Allison Clarke, #07 Ana Milanovic, #08 Shanayka Ismar, #55 Maya Hernandez, Half-court",,,
84,),P6,,Offense,,,0:06.2,,,0:00.00,0:06.16,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #11 Erica Finney, #13 Ivana Krajina, #24 Kayla Jones, Half-court",,,
85,),P6,,Offense,,,0:09.0,,,0:46.52,0:55.57,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #11 Erica Finney, #13 Ivana Krajina, #24 Kayla Jones, Half-court",,,
86,),P6,,Offense,,,0:18.7,,,1:10.76,1:29.45,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #11 Erica Finney, #13 Ivana Krajina, #24 Kayla Jones, Half-court",,,
87,#,P6,,Offense,,,0:14.0,,,2:34.99,2:48.99,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, #04 Allison Clarke, Half-court",,,
88,),P6,,Defense,,,0:06.0,,,2:48.99,2:54.99,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, #04 Allison Clarke",,,
89,#-8,P6,,Offense,,,0:22.8,0:07.6,0:30.3,3:36.61,4:06.95,Live,,,,,"#03 Danae Powell, #04 Allison Clarke, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, Transition",,,
90,2,P6,,Offense,,,0:17.6,,,4:20.29,4:37.89,Live,,,,,"#03 Danae Powell, #04 Allison Clarke, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, Half-court",,,
91,),P6,,Defense,,,0:10.0,,,4:37.89,4:47.92,Live,,,,,"#03 Danae Powell, #04 Allison Clarke, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones",,,
92,0-1-1,P6,,"Defense, Allow Paint Touch",,,0:10.5,,,0:00.23,0:10.70,Live,,,,,"#03 Danae Powell, #04 Allison Clarke, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones",,,
93,2,P6,,"Defense, Allow Paint Touch",,,0:13.0,,,1:10.77,1:23.76,Live,,,,,"#03 Danae Powell, #04 Allison Clarke, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones",,,
